,TENERT_22,TENERT_23,TENERT_24
2004,0.24582315,0.028225371,0.001
2005,0.250739613,0.028789878,0.001
2006,0.255754406,0.029365676,0.001
2007,0.271921894,0.023839588,0.001165405
2008,0.296941449,0.014938072,0.001482358
2009,0.325149114,0.007594672,0.001892187
2010,0.352237563,0.004838732,0.002340297
2011,0.40775206,0.003788682,0.002940862
2012,0.494204795,0.004176856,0.00377366
2013,0.607629492,0.005242199,0.004900296
2014,0.744059879,0.006223656,0.006382378
2015,0.89701749,0.006627838,0.008201736
2016,0.973337094,0.008189706,0.007793672
2017,0.985456392,0.01123117,0.005683541
2018,0.968082016,0.015865196,0.003084894
2019,0.955920595,0.022204748,0.001211279
2020,0.971241058,0.030040884,0.000750892
2021,1.052397273,0.038760093,0.000684169
2022,1.195569225,0.049614403,0.00098863
2023,1.379522954,0.063948079,0.001537759
2024,1.583024501,0.083105385,0.002205037
2025,1.788659924,0.107178561,0.002886431
2026,1.963156525,0.137313287,0.003420906
2027,2.115860415,0.178059354,0.00385426
2028,2.26623894,0.233588611,0.004280467
2029,2.433759442,0.308072908,0.004793501
2030,2.628543154,0.401134304,0.005441543
2031,2.888941983,0.484774263,0.006241753
2032,3.217781604,0.566119841,0.007229011
2033,3.602190333,0.656435216,0.008408872
2034,4.029296486,0.766984569,0.009786891
2035,4.483402703,0.901905022,0.011333745
2036,4.875543962,0.900081002,0.012889803
2037,5.224703563,0.787707894,0.014532571
2038,5.570101868,0.631716047,0.016356625
2039,5.950959242,0.499035807,0.018456546
2040,6.38751275,0.430402141,0.020849408
2041,7.23829616,0.442944016,0.023934471
2042,8.521560187,0.529011841,0.027843275
2043,10.15656075,0.65874974,0.03256719
2044,12.06255377,0.802301836,0.038097589
2045,14.14054444,0.937461847,0.044294308
2046,16.94785906,0.860842563,0.040595976
2047,20.70643661,0.624926278,0.029462705
2048,25.51136978,0.348260681,0.016443395
2049,31.45775128,0.149393463,0.007086949
2050,38.41873488,0.09439002,0.004482155
